LYD001,Like Young,Fame,https://likeyoungrecords.bandcamp.com/album/fame
LYD002,Perfume,Perfume,https://likeyoungrecords.bandcamp.com/album/perfume
LYD003,SEXES,Humans,https://likeyoungrecords.bandcamp.com/album/humans
LYD004,SEXES,IV,https://likeyoungrecords.bandcamp.com/album/iv
LYD005,Like Young,This New Moon,https://likeyoungrecords.bandcamp.com/album/this-new-moon-3
LYD006,Daze Ghoulish,Lovers Hunt,https://likeyoungrecords.bandcamp.com/album/lovers-hunt-2
LYD007,Daze Ghoulish,News,https://likeyoungrecords.bandcamp.com/album/news
LYD008,Like Young,Hoax,https://likeyoungrecords.bandcamp.com/album/hoax
LYD009,Like Young,Problematic Growth,https://likeyoungrecords.bandcamp.com/album/problematic-growth
LYD010,SEXES,The Skin,https://likeyoungrecords.bandcamp.com/album/the-skin
LYD011,Low Form,S/T,https://likeyoungrecords.bandcamp.com/album/s-t
LYD012,SEXES,Nothing Worth Living For,https://likeyoungrecords.bandcamp.com/album/nothing-worth-living-for
LYD013,Like Young,Lasting Depression,https://likeyoungrecords.bandcamp.com/album/lasting-depression
LYD014,Self Pity,Vanilla,https://likeyoungrecords.bandcamp.com/track/vanilla
LYD015,Self Pity,Abyssal,https://likeyoungrecords.bandcamp.com/album/abyssal
